date,open,high,low,close,volume
2024-05-13,403.2715,406.5041,401.6552,404.0796,59087180
2024-05-14,403.4089,406.6426,401.7920,404.2173,54996255
2024-05-15,406.1684,409.4242,404.5404,406.9823,51320956
2024-05-16,400.6018,403.8131,398.9962,401.4046,70133457
2024-05-17,402.2933,405.5181,400.6809,403.0995,54925346
2024-05-20,395.0496,398.2163,393.4662,395.8412,57052174
2024-05-21,386.4578,389.5556,384.9088,387.2322,84419027
2024-05-22,385.3197,388.4084,383.7753,386.0919,69369710
2024-05-23,381.6768,384.7363,380.1470,382.4417,57348140
2024-05-24,382.5192,385.5854,380.9860,383.2857,76794582
2024-05-27,392.2389,395.3831,390.6668,393.0249,60634595
2024-05-28,388.8222,391.9390,387.2638,389.6014,71077488
2024-05-29,386.3172,389.4139,384.7688,387.0913,61318114
2024-05-30,387.3459,390.4509,385.7934,388.1222,70646447
2024-05-31,389.6081,392.7312,388.0465,390.3889,75141343
2024-06-03,389.0084,392.1267,387.4492,389.7879,71448323
2024-06-04,388.2834,391.3959,386.7272,389.0616,65824164
2024-06-05,391.4519,394.5898,389.8830,392.2364,81632551
2024-06-06,393.8545,397.0117,392.2760,394.6438,84937497
2024-06-07,389.5574,392.6801,387.9961,390.3381,57174850
2024-06-10,389.3740,392.4952,387.8134,390.1543,55452348
2024-06-11,389.6810,392.8047,388.1191,390.4619,54527665
2024-06-12,385.3412,388.4301,383.7967,386.1134,89183869
2024-06-13,386.5987,389.6977,385.0492,387.3735,87663652
2024-06-14,383.1206,386.1917,381.5850,383.8884,59226687
2024-06-17,387.3941,390.4995,385.8414,388.1704,88796302
2024-06-18,388.3716,391.4848,386.8150,389.1499,58312706
2024-06-19,388.9089,392.0264,387.3501,389.6883,70259040
2024-06-20,386.5433,389.6418,384.9940,387.3179,69895401
2024-06-21,386.1937,389.2894,384.6458,386.9676,86598236
2024-06-24,377.9507,380.9804,376.4359,378.7082,51621154
2024-06-25,373.4254,376.4188,371.9288,374.1738,62614032
2024-06-26,375.0689,378.0754,373.5656,375.8205,73998987
2024-06-27,366.5355,369.4737,365.0664,367.2700,52655928
2024-06-28,370.1129,373.0797,368.6295,370.8546,59462023
2024-07-01,363.2172,366.1288,361.7614,363.9451,68602538
2024-07-02,366.3998,369.3369,364.9313,367.1341,85234281
2024-07-03,363.1532,366.0642,361.6976,363.8809,80438380
2024-07-04,366.4249,369.3622,364.9563,367.1592,83159218
2024-07-05,367.0999,370.0426,365.6286,367.8356,80442790
2024-07-08,361.0906,363.9851,359.6433,361.8142,78308831
2024-07-09,366.2329,369.1686,364.7650,366.9668,83987733
2024-07-10,372.2361,375.2199,370.7441,372.9820,77259067
2024-07-11,372.1155,375.0984,370.6241,372.8613,79427322
2024-07-12,371.1444,374.1196,369.6569,371.8882,62065780
2024-07-15,370.6406,373.6116,369.1550,371.3833,56705628
2024-07-16,366.8328,369.7733,365.3625,367.5679,80260999
2024-07-17,371.4412,374.4187,369.9525,372.1856,56633491
2024-07-18,369.3774,372.3383,367.8969,370.1176,86778234
2024-07-19,369.3171,372.2776,367.8369,370.0572,73865713
2024-07-22,366.2549,369.1908,364.7869,366.9888,63177364
2024-07-23,363.8867,366.8036,362.4283,364.6159,87465726
2024-07-24,358.9516,361.8290,357.5129,359.6710,56205210
2024-07-25,364.0952,367.0138,362.6359,364.8249,70578653
2024-07-26,363.6240,366.5388,362.1666,364.3527,53662162
2024-07-29,367.6552,370.6023,366.1816,368.3920,88617108
2024-07-30,367.8562,370.8050,366.3818,368.5934,73015042
2024-07-31,365.2031,368.1306,363.7394,365.9350,82146663
2024-08-01,364.0387,366.9568,362.5796,364.7682,61276896
2024-08-02,361.9469,364.8483,360.4962,362.6723,82071865
2024-08-05,362.1234,365.0262,360.6720,362.8491,78113678
2024-08-06,360.7760,363.6680,359.3300,361.4990,75747258
2024-08-07,359.7316,362.6152,358.2898,360.4525,88022512
2024-08-08,354.4594,357.3007,353.0387,355.1697,67339653
2024-08-09,351.4679,354.2853,350.0592,352.1723,66603537
2024-08-12,358.0645,360.9347,356.6294,358.7820,77684845
2024-08-13,355.5726,358.4229,354.1475,356.2852,83402212
2024-08-14,351.6142,354.4327,350.2049,352.3188,63403040
2024-08-15,353.0625,355.8927,351.6474,353.7700,76786282
2024-08-16,358.7139,361.5893,357.2761,359.4327,58361496
2024-08-19,353.1634,355.9944,351.7479,353.8711,72067998
2024-08-20,352.4952,355.3208,351.0824,353.2016,80766868
2024-08-21,350.1930,353.0002,348.7894,350.8948,52612598
2024-08-22,343.6121,346.3665,342.2349,344.3007,79113682
2024-08-23,346.5397,349.3176,345.1508,347.2342,50617299
2024-08-26,346.5890,349.3673,345.1998,347.2836,88334001
2024-08-27,347.0002,349.7818,345.6095,347.6956,68746792
2024-08-28,344.2782,347.0379,342.8983,344.9681,66362834
2024-08-29,346.1432,348.9179,344.7559,346.8369,78817786
2024-08-30,344.2336,346.9929,342.8539,344.9234,70931954
2024-09-02,343.8304,346.5865,342.4523,344.5194,79233954
2024-09-03,339.8001,342.5240,338.4382,340.4811,53390315
2024-09-04,335.4190,338.1077,334.0746,336.0912,72511674
2024-09-05,340.5191,343.2487,339.1543,341.2015,72324347
2024-09-06,338.7604,341.4759,337.4027,339.4393,87284555
2024-09-09,339.9850,342.7104,338.6224,340.6664,51584223
2024-09-10,339.9947,342.7201,338.6320,340.6760,68112785
2024-09-11,338.4842,341.1975,337.1275,339.1625,75242916
2024-09-12,336.7328,339.4321,335.3832,337.4076,72029878
2024-09-13,339.2104,341.9296,337.8509,339.8902,52966443
2024-09-16,338.2212,340.9324,336.8656,338.8990,73729135
2024-09-17,337.7933,340.5011,336.4394,338.4703,58887875
2024-09-18,338.0111,340.7206,336.6563,338.6885,57821967
2024-09-19,342.5509,345.2968,341.1780,343.2374,85147635
2024-09-20,345.2628,348.0304,343.8790,345.9547,57913684
2024-09-23,346.8577,349.6381,345.4675,347.5528,68171630
2024-09-24,344.8520,347.6163,343.4698,345.5430,80011475
2024-09-25,339.7852,342.5089,338.4233,340.4661,78292615
2024-09-26,343.4901,346.2436,342.1134,344.1785,72138360
2024-09-27,347.3001,350.0841,345.9081,347.9961,82281829
2024-09-30,346.9017,349.6825,345.5113,347.5969,68632646
2024-10-01,349.1153,351.9138,347.7160,349.8149,74815417
2024-10-02,352.2701,355.0939,350.8582,352.9760,82756665
2024-10-03,355.6479,358.4988,354.2224,356.3606,77123665
2024-10-04,359.4145,362.2956,357.9740,360.1348,75673134
2024-10-07,357.7608,360.6286,356.3269,358.4777,66245148
2024-10-08,363.9183,366.8354,362.4597,364.6476,72332938
2024-10-09,359.1057,361.9843,357.6664,359.8253,65843306
2024-10-10,362.6709,365.5780,361.2173,363.3977,79771690
2024-10-11,364.7926,367.7168,363.3305,365.5236,65217206
2024-10-14,368.4624,371.4160,366.9856,369.2008,68664846
2024-10-15,376.3080,379.3245,374.7997,377.0621,80218283
2024-10-16,382.6561,385.7235,381.1224,383.4230,70146231
2024-10-17,378.0172,381.0474,376.5021,378.7748,63521302
2024-10-18,371.2087,374.1843,369.7209,371.9526,83072757
2024-10-21,374.7092,377.7129,373.2073,375.4601,65238503
2024-10-22,370.6970,373.6685,369.2113,371.4399,83789164
2024-10-23,370.7947,373.7670,369.3086,371.5378,81409616
2024-10-24,374.3853,377.3864,372.8848,375.1356,67891552
2024-10-25,367.8237,370.7722,366.3495,368.5609,78515637
2024-10-28,359.5287,362.4107,358.0877,360.2492,51375588
2024-10-29,360.6999,363.5913,359.2542,361.4228,65591936
2024-10-30,361.0204,363.9144,359.5735,361.7439,84413347
2024-10-31,360.1897,363.0770,358.7460,360.9115,73181574
2024-11-01,360.4865,363.3762,359.0417,361.2090,72313033
2024-11-04,357.2333,360.0969,355.8015,357.9492,76589555
2024-11-05,351.4757,354.2931,350.0670,352.1800,77106865
2024-11-06,350.9723,353.7857,349.5656,351.6757,73343930
2024-11-07,347.3797,350.1643,345.9874,348.0759,66825172
2024-11-08,341.2926,344.0284,339.9247,341.9766,57339347
2024-11-11,343.3337,346.0858,341.9576,344.0217,61705681
2024-11-12,343.2391,345.9905,341.8634,343.9270,61716887
2024-11-13,344.9154,347.6802,343.5330,345.6066,67229796
2024-11-14,341.3188,344.0548,339.9508,342.0028,89962350
2024-11-15,338.9926,341.7100,337.6339,339.6719,64102077
2024-11-18,335.4218,338.1105,334.0774,336.0940,67895171
2024-11-19,332.2992,334.9629,330.9673,332.9651,64865102
2024-11-20,333.1475,335.8180,331.8122,333.8151,73257109
2024-11-21,330.4226,333.0713,329.0983,331.0848,87915943
2024-11-22,331.8520,334.5122,330.5220,332.5171,85562915
2024-11-25,333.2279,335.8990,331.8923,333.8957,65085549
2024-11-26,340.8707,343.6032,339.5045,341.5538,60676045
2024-11-27,335.8225,338.5144,334.4765,336.4955,85375944
2024-11-28,339.2542,341.9736,337.8944,339.9340,69753333
2024-11-29,339.0560,341.7738,337.6970,339.7354,77421645
2024-12-02,339.1393,341.8578,337.7800,339.8189,52931656
2024-12-03,333.9069,336.5836,332.5686,334.5761,84662307
2024-12-04,332.3539,335.0180,331.0218,333.0199,62518606
2024-12-05,335.2161,337.9032,333.8725,335.8879,69781078
2024-12-06,335.0461,337.7318,333.7032,335.7175,57920843
2024-12-09,335.4791,338.1683,334.1345,336.1514,66809704
2024-12-10,334.5418,337.2235,333.2010,335.2122,83121956
2024-12-11,338.9532,341.6703,337.5947,339.6325,83103169
2024-12-12,339.0087,341.7263,337.6500,339.6881,68946880
2024-12-13,331.0341,333.6877,329.7073,331.6975,80716428
2024-12-16,328.6550,331.2895,327.3377,329.3136,68322674
2024-12-17,321.7426,324.3217,320.4530,322.3874,64934253
2024-12-18,310.5627,313.0522,309.3180,311.1851,71835559
2024-12-19,308.8806,311.3566,307.6426,309.4996,58053630
